title,author,publish_year
Alice's Adventures in Wonderland,Lewis Carroll,1865
Frankenstein or The Modern Prometheus,Mary Shelley,1818
The Time Machine,H. G. Wells,1895
The Wonderful Wizard of Oz,L. Frank Baum,1900
The Lost World,Arthur Conan Doyle,1900
Dracula,Bram Stoker,1897
The Iron Heel,Jack London,1907
Flatland,Edwin Abbott Abbott,1884
Brave New World,Aldous Huxley,1932
Nineteen Eighty-Four,George Orwell,1949
The War of the Worlds,H. G. Wells,1898
The Invisible Man,H. G. Wells,1897
The Princess and Curdie,George MacDonald,1832
Vingt mille lieues sous les mers,Jules Verne,1870
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875
The Poison Belt,Arthur Conan Doyle,1913
The Secret Agent,Joseph Conrad,1907
Fahrenheit 451,Ray Bradbury,1953
The Island of Dr. Moreau,H. G. Wells,1896
At The Earth's Core And Out Of Time's Abyss,Edgar Rice Burroughs,1914
The warlord of Mars #3,Edgar Rice Burroughs,1919
"Thuvia, Maid of Mars",Edgar Rice Burroughs,1916
A Princess of Mars,Edgar Rice Burroughs,1917
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904
Voyage au Centre de la Terre,Jules Verne,1867
The food of the gods and how it came to earth,H. G. Wells,1900
The wood beyond the world,William Morris,1894
When the Sleeper Awakes,H. G. Wells,1899
De la terre à la lune,Jules Verne,1865
Мы,Евгений Иванович Замятин,1924
The Handmaid's Tale,Margaret Atwood,1985
The Andromeda Strain,Michael Crichton,1969
In the days of the comet,H. G. Wells,1906
A Clockwork Orange,Anthony Burgess,1962
The Martian Chronicles,Ray Bradbury,1950
On The Beach,Nevil Shute,1957
It Can't Happen Here,Sinclair Lewis,1935
Dune,Frank Herbert,1965
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979
2001,Arthur C. Clarke,1968
The First Men in the Moon,H. G. Wells,1900
A strange manuscript found in a copper cylinder,James De Mille,1888
Charlie and the Great Glass Elevator,Roald Dahl,1972
The Hunger Games,Suzanne Collins,2008
The Giver,Lois Lowry,1993
A Wrinkle in Time,Madeleine L'Engle,1962
Ender's Game,Orson Scott Card,1985
A Modern Utopia,H. G. Wells,1900
Foundation,Isaac Asimov,1951
"I, Robot",Isaac Asimov,1950
