type,genre,release_year,rating,duration,duration_type,country
TV Show,Comedy,1955,PG,3,Seasons,Japan
TV Show,Horror,2020,G,3,Seasons,India
TV Show,Action,1966,TV-PG,140,min,United States
Movie,Thriller,2011,PG-13,3,Seasons,Canada
TV Show,Romance,1959,TV-14,172,min,India
Movie,Action,2007,PG-13,3,Seasons,Japan
Movie,Romance,1977,TV-14,68,min,United States
Movie,Comedy,1971,TV-PG,104,min,Japan
Movie,Drama,2000,PG-13,2,Seasons,Canada
Movie,Thriller,1975,TV-MA,1,Seasons,India
TV Show,Romance,2021,TV-14,139,min,Australia
TV Show,Action,1986,PG-13,85,min,Germany
Movie,Documentary,1997,R,129,min,Australia
Movie,Sci-Fi,1986,TV-PG,129,min,Germany
TV Show,Documentary,1994,PG-13,3,Seasons,Canada
TV Show,Horror,1996,TV-MA,107,min,Japan
Movie,Comedy,1969,TV-PG,1,Seasons,United Kingdom
TV Show,Drama,1983,G,147,min,South Korea
Movie,Romance,2011,G,1,Seasons,United Kingdom
Movie,Romance,2023,R,1,Seasons,United Kingdom
TV Show,Sci-Fi,1993,G,120,min,Australia
TV Show,Drama,1968,R,2,Seasons,Germany
Movie,Drama,2023,TV-PG,3,Seasons,United Kingdom
Movie,Comedy,1965,R,115,min,United States
TV Show,Sci-Fi,1991,TV-MA,1,Seasons,Australia
TV Show,Romance,1997,R,2,Seasons,United States
Movie,Drama,2004,TV-PG,164,min,Japan
TV Show,Horror,1952,PG-13,175,min,United States
Movie,Thriller,1969,TV-MA,68,min,India
TV Show,Comedy,1955,PG,78,min,Canada
Movie,Horror,1992,TV-MA,2,Seasons,Australia
TV Show,Horror,1989,TV-MA,2,Seasons,United States
Movie,Documentary,1975,TV-MA,3,Seasons,Japan
TV Show,Thriller,1996,TV-14,1,Seasons,Canada
Movie,Thriller,2019,TV-PG,2,Seasons,Canada
Movie,Documentary,1999,PG-13,88,min,United States
Movie,Comedy,1964,TV-PG,133,min,United Kingdom
Movie,Action,2003,TV-MA,156,min,Australia
TV Show,Documentary,2000,PG,3,Seasons,Japan
Movie,Comedy,1989,TV-14,2,Seasons,United Kingdom
Movie,Documentary,1971,PG-13,1,Seasons,Germany
TV Show,Horror,1981,TV-PG,2,Seasons,Japan
Movie,Horror,2012,TV-MA,141,min,India
Movie,Comedy,1955,G,1,Seasons,Germany
TV Show,Comedy,1959,TV-PG,76,min,United States
TV Show,Sci-Fi,1961,TV-MA,2,Seasons,Australia
TV Show,Thriller,1996,G,130,min,United States
TV Show,Thriller,1967,R,67,min,Germany
TV Show,Documentary,1973,PG,3,Seasons,United Kingdom
TV Show,Comedy,1965,TV-PG,2,Seasons,India
TV Show,Drama,1969,G,3,Seasons,Japan
Movie,Documentary,1980,PG,140,min,Japan
TV Show,Drama,1989,R,2,Seasons,India
TV Show,Documentary,1964,PG,3,Seasons,Germany
TV Show,Thriller,2018,TV-MA,128,min,Japan
TV Show,Horror,1952,PG,97,min,South Korea
Movie,Drama,2016,TV-14,2,Seasons,Germany
TV Show,Horror,1965,TV-PG,1,Seasons,India
Movie,Romance,2020,R,3,Seasons,Germany
Movie,Documentary,2016,R,2,Seasons,South Korea
TV Show,Romance,2014,TV-PG,3,Seasons,Canada
TV Show,Thriller,2005,PG,2,Seasons,United Kingdom
TV Show,Comedy,1970,PG-13,169,min,India
Movie,Romance,1961,PG-13,3,Seasons,United Kingdom
Movie,Romance,1960,TV-PG,137,min,Australia
TV Show,Comedy,1968,R,3,Seasons,Japan
Movie,Documentary,1952,TV-MA,3,Seasons,United Kingdom
TV Show,Comedy,2001,TV-14,166,min,Japan
TV Show,Action,2015,TV-PG,2,Seasons,Germany
TV Show,Sci-Fi,1981,TV-MA,66,min,United States
Movie,Horror,2018,TV-14,89,min,Germany
Movie,Romance,1965,PG-13,140,min,Germany
Movie,Thriller,2000,TV-PG,174,min,India
TV Show,Sci-Fi,1954,TV-MA,175,min,United States
TV Show,Horror,1967,PG-13,1,Seasons,India
Movie,Action,1962,G,72,min,United Kingdom
Movie,Comedy,1995,PG,147,min,Japan
TV Show,Drama,1954,R,1,Seasons,Germany
TV Show,Action,2006,PG-13,174,min,United States
TV Show,Drama,1975,PG-13,138,min,United States
TV Show,Drama,1974,TV-14,3,Seasons,Japan
TV Show,Comedy,1963,R,143,min,Australia
Movie,Sci-Fi,1962,R,86,min,Australia
Movie,Action,1992,R,168,min,United States
TV Show,Sci-Fi,1950,TV-14,3,Seasons,India
TV Show,Drama,2002,TV-MA,2,Seasons,United States
TV Show,Documentary,1988,TV-MA,108,min,Germany
TV Show,Thriller,1961,TV-14,86,min,United States
Movie,Documentary,1951,R,3,Seasons,United Kingdom
TV Show,Drama,1970,PG-13,3,Seasons,United Kingdom
Movie,Drama,1971,R,109,min,Germany
TV Show,Sci-Fi,1989,TV-PG,133,min,Germany
Movie,Thriller,1971,PG,3,Seasons,Japan
TV Show,Thriller,1955,TV-PG,3,Seasons,United Kingdom
Movie,Documentary,1988,G,89,min,Canada
TV Show,Action,2005,TV-14,2,Seasons,United States
Movie,Romance,1978,TV-MA,1,Seasons,Germany
TV Show,Romance,2007,TV-PG,2,Seasons,India
Movie,Action,1978,PG-13,124,min,Australia
TV Show,Drama,1991,G,84,min,United Kingdom
TV Show,Sci-Fi,2006,TV-14,2,Seasons,Australia
TV Show,Horror,2016,R,107,min,India
TV Show,Action,1978,PG,106,min,India
TV Show,Action,1952,TV-PG,153,min,Germany
Movie,Thriller,1972,TV-PG,157,min,United Kingdom
TV Show,Romance,1967,PG-13,2,Seasons,United Kingdom
TV Show,Action,2005,TV-14,2,Seasons,South Korea
Movie,Drama,1985,TV-MA,2,Seasons,South Korea
TV Show,Drama,1966,TV-PG,1,Seasons,South Korea
Movie,Documentary,1963,PG-13,3,Seasons,United Kingdom
Movie,Action,1974,TV-PG,2,Seasons,United States
Movie,Documentary,1971,TV-14,138,min,Japan
Movie,Drama,2019,PG,180,min,Canada
TV Show,Action,2005,R,3,Seasons,Germany
TV Show,Thriller,2010,PG-13,90,min,Australia
Movie,Thriller,2007,PG-13,159,min,United States
Movie,Romance,1963,R,2,Seasons,Australia
TV Show,Romance,2018,R,3,Seasons,United Kingdom
TV Show,Drama,2003,TV-PG,3,Seasons,Australia
Movie,Romance,1974,PG,74,min,South Korea
TV Show,Thriller,2008,TV-MA,66,min,United Kingdom
Movie,Sci-Fi,1983,G,2,Seasons,India
TV Show,Documentary,1959,G,1,Seasons,India
Movie,Comedy,1982,TV-14,3,Seasons,Canada
Movie,Horror,1977,TV-14,2,Seasons,Canada
TV Show,Comedy,1953,R,2,Seasons,India
Movie,Comedy,2010,PG-13,3,Seasons,South Korea
TV Show,Thriller,1998,TV-PG,1,Seasons,United Kingdom
Movie,Drama,1951,PG,3,Seasons,United States
